session_id,model_type,turn_count,therapist_turns,patient_turns,word_count,char_count,parsing_status,num_missing_act_fm,num_missing_tes,act_fm_consistent_aware,act_fm_consistent_engaged,act_fm_consistent_open,act_fm_consistent_stance,act_fm_inconsistent_aware,act_fm_inconsistent_engaged,act_fm_inconsistent_open,act_fm_inconsistent_stance,act_fm_total_consistency,act_fm_total_inconsistency,tes_total_empathy_mean,act_fm_item_1,act_fm_item_10,act_fm_item_11,act_fm_item_12,act_fm_item_13,act_fm_item_14,act_fm_item_15,act_fm_item_16,act_fm_item_17,act_fm_item_18,act_fm_item_19,act_fm_item_2,act_fm_item_20,act_fm_item_21,act_fm_item_22,act_fm_item_23,act_fm_item_24,act_fm_item_25,act_fm_item_3,act_fm_item_4,act_fm_item_5,act_fm_item_6,act_fm_item_7,act_fm_item_8,act_fm_item_9,tes_item_1,tes_item_2,tes_item_3,tes_item_4,tes_item_5,tes_item_6,tes_item_7,tes_item_8,tes_item_9
100,llama3_3b_instruct,51,25,26,4011,22753,OK,0,0,3,3,3,4.5,7,5,5,7,13.5,24,3.3333333333333335,2,1,2,1,2,1,1,1,2,2,3,1,1,1,1,1,2,2,2,1,2,2,3,1,1,4,3,3,4,3,4,3,3,3
101,llama3_3b_instruct,51,25,26,4038,22552,OK,0,0,8,9,9,8.25,2,1,1,4,34.25,8,5.888888888888889,3,3,1,0,0,3,3,2,1,0,1,3,3,3,3,0,1,0,2,3,2,1,1,3,3,6,5,6,6,6,6,6,6,6
102,llama3_3b_instruct,51,25,26,2855,16205,OK,0,0,6,1,7,5.25,4,0,1,2,19.25,7,4.666666666666667,2,2,1,0,0,3,2,1,2,1,1,2,1,0,0,0,0,0,1,2,0,1,1,2,3,5,4,4,5,5,5,5,4,5
103,llama3_3b_instruct,51,25,26,3379,18386,OK,0,0,4,3,5,5.25,5,4,4,5,17.25,18,3.2222222222222223,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,4,3,3,4,3,3,3,3,3
104,llama3_3b_instruct,51,25,26,3546,19829,OK,0,0,4,5,6,5.25,4,2,2,4,20.25,12,4.666666666666667,2,2,1,0,1,2,1,1,2,1,1,2,2,2,1,1,1,0,1,2,1,1,2,2,2,5,4,4,5,5,5,5,4,5
105,llama3_3b_instruct,51,25,26,3576,19260,OK,0,0,7,6,6,6.75,2,1,2,3,25.75,8,4.666666666666667,2,2,1,0,1,3,2,2,1,0,1,3,2,2,2,0,1,0,2,2,1,1,1,2,2,5,4,4,5,4,5,5,5,5
106,llama3_3b_instruct,38,19,19,5430,31135,OK,0,0,6,6,6,6.75,2,1,2,4,24.75,9,4.666666666666667,3,2,1,0,1,2,2,2,1,0,1,2,2,2,2,0,1,0,2,2,1,2,1,2,2,5,4,4,5,5,5,4,5,5
107,llama3_3b_instruct,51,25,26,3238,17604,OK,0,0,9,7,9,9.0,1,0,0,1,34.0,2,5.888888888888889,3,3,0,0,0,3,3,3,0,0,1,3,3,2,2,0,0,0,3,3,0,0,1,3,3,6,5,6,6,6,6,6,6,6
108,llama3_3b_instruct,51,25,26,3461,18209,OK,0,0,7,3,8,7.5,1,0,1,2,25.5,4,5.333333333333333,2,3,1,0,0,3,2,2,1,0,0,3,1,1,1,0,0,0,2,3,0,1,1,2,3,6,5,4,6,5,5,5,6,6
109,llama3_3b_instruct,51,25,26,4376,23912,OK,0,0,8,9,9,7.5,0,0,0,3,33.5,3,5.777777777777778,2,3,0,0,0,3,3,2,0,0,0,3,3,3,3,0,0,0,2,3,1,1,1,3,3,6,5,5,6,6,6,6,6,6
10,llama3_3b_instruct,51,25,26,4801,25939,OK,0,0,5,5,6,5.25,2,1,1,3,21.25,7,4.666666666666667,2,2,1,0,0,2,2,1,1,0,1,2,2,1,2,0,1,0,1,2,1,1,1,2,2,5,4,4,5,5,5,5,4,5
110,llama3_3b_instruct,51,25,26,3291,17818,OK,0,0,6,4,6,6.0,2,0,0,2,22.0,4,4.888888888888889,2,2,0,0,0,3,2,1,1,0,1,2,2,1,1,0,0,0,2,2,0,1,1,2,2,5,4,5,5,5,5,5,5,5
111,llama3_3b_instruct,51,25,26,4094,24291,OK,0,0,9,9,9,9.0,0,0,0,0,36.0,0,6.888888888888889,3,3,0,0,0,3,3,3,0,0,0,3,3,3,3,0,0,0,3,3,0,0,0,3,3,7,6,7,7,7,7,7,7,7
112,llama3_3b_instruct,51,25,26,3514,18720,OK,0,0,7,6,7,7.5,5,4,3,3,27.5,15,5.777777777777778,2,2,2,0,1,3,2,2,2,1,2,3,2,2,2,1,2,1,2,3,1,1,1,3,2,6,5,5,6,6,6,6,6,6
113,llama3_3b_instruct,51,25,26,2971,16210,OK,0,0,8,9,9,7.5,0,0,0,1,33.5,1,5.888888888888889,2,3,0,0,0,3,3,2,0,0,0,3,3,3,3,0,0,0,2,3,0,0,1,3,3,6,5,6,6,6,6,6,6,6
114,llama3_3b_instruct,51,25,26,4043,23034,OK,0,0,9,6,9,9.0,0,0,0,0,33.0,0,6.888888888888889,3,3,0,0,0,3,3,3,0,0,0,3,3,2,1,0,0,0,3,3,0,0,0,3,3,7,6,7,7,7,7,7,7,7
115,llama3_3b_instruct,51,25,26,2874,15360,OK,0,0,5,6,6,6.0,2,1,2,3,23.0,8,4.333333333333333,3,2,1,0,1,2,2,1,1,0,1,2,2,2,2,0,1,0,1,2,1,1,1,2,2,5,4,4,5,4,5,4,4,4
116,llama3_3b_instruct,48,24,24,5005,29439,OK,0,0,8,7,9,8.25,1,0,0,0,32.25,1,6.555555555555555,3,3,0,0,0,3,3,2,0,0,1,3,3,2,2,0,0,0,2,3,0,0,0,3,3,7,6,6,7,7,6,6,7,7
