dependent_variable,group1,group2,mean_difference,std_error,z_value,p_value_raw,ci_lower_95,ci_upper_95,p_value_adjusted,reject_null,adjustment_method
act_fm_total,Instruct (COT),Instruct (no COT),0.6150000000000947,0.6618460855187004,0.929219063852449,0.3527755696681606,-0.682218327616558,1.9122183276167473,0.581100536781626,False,Holm-Sidak
act_fm_total,Instruct (COT),ORPO (COT),-2.6916666666665785,0.6618460855187005,-4.06690728488191,4.7641186158333906e-05,-3.9888849942832314,-1.3944483390499256,0.00033344064355773006,True,Holm-Sidak
act_fm_total,Instruct (COT),ORPO (no COT),-2.608333333333242,0.6618460855187005,-3.940996842625495,8.114369440482332e-05,-3.905551660949895,-1.311115005716589,0.00040565263437522677,True,Holm-Sidak
act_fm_total,Instruct (COT),SFT (COT),2.0766666666667652,0.6618460855187004,3.1376882210298866,0.001702859029487228,0.7794483390501126,3.3738849942834177,0.0067940574876126335,True,Holm-Sidak
act_fm_total,Instruct (COT),SFT (no COT),4.751666666666768,0.6618460855187004,7.179413417460653,7.001114369105215e-13,3.4544483390501153,6.048884994283421,8.401337242893907e-12,True,Holm-Sidak
act_fm_total,Instruct (no COT),ORPO (COT),-3.3066666666666733,0.6618460855186964,-4.99612634873439,5.84933446445256e-07,-4.603884994283318,-2.0094483390500284,5.264388700727191e-06,True,Holm-Sidak
act_fm_total,Instruct (no COT),ORPO (no COT),-3.2233333333333367,0.6618460855186964,-4.870215906477974,1.1147637268759606e-06,-4.520551660949982,-1.9261150057166918,8.918075019536593e-06,True,Holm-Sidak
act_fm_total,Instruct (no COT),SFT (COT),1.4616666666666704,0.6618460855186964,2.2084691571774506,0.027211585540043715,0.16444833905002554,2.7588849942833154,0.07943349483061392,False,Holm-Sidak
act_fm_total,Instruct (no COT),SFT (no COT),4.136666666666674,0.6618460855186964,6.250194353608242,4.0994223314610354e-10,2.839448339050029,5.433884994283319,4.099422323898667e-09,True,Holm-Sidak
act_fm_total,ORPO (COT),ORPO (no COT),0.08333333333333659,0.6618460855186964,0.1259104422564157,0.8998028167380177,-1.2138849942833083,1.3805516609499815,0.8998028167380177,False,Holm-Sidak
act_fm_total,ORPO (COT),SFT (COT),4.768333333333343,0.6618460855186964,7.20459550591184,5.821640662986462e-13,3.4711150057166984,6.065551660949988,7.568132861855964e-12,True,Holm-Sidak
act_fm_total,ORPO (COT),SFT (no COT),7.443333333333347,0.6618460855186964,11.246320702342631,2.4145543758444786e-29,6.146115005716702,8.740551660949992,3.621831563766718e-28,True,Holm-Sidak
act_fm_total,ORPO (no COT),SFT (COT),4.685000000000008,0.6618460855186964,7.078685063655426,1.4552868836309374e-12,3.3877816723833627,5.9822183276166525,1.6008155719823832e-11,True,Holm-Sidak
act_fm_total,ORPO (no COT),SFT (no COT),7.36000000000001,0.6618460855186964,11.120410260086215,9.981195112125458e-29,6.062781672383365,8.657218327616654,1.397367315697564e-27,True,Holm-Sidak
act_fm_total,SFT (COT),SFT (no COT),2.675000000000003,0.6618460855186963,4.041725196430791,5.305939154636416e-05,1.3777816723833582,3.9722183276166474,0.00033344064355773006,True,Holm-Sidak
